瓶,かめ,びん,ビン,へい
便,びん,べん,よすが
不,ふ,ぶ
無,む,ぶ
分,ふん,ぶ,ぶん
不安,ふあん
風景,ふうけい
夫婦,ふうふ,めおと,みょうと
笛,ふえ,ちゃく
不可,ふか
武器,ぶき
服装,ふくそう
含む,ふくむ,くくむ
袋,ふくろ,たい
不幸,ふこう
節,せつ,ノット,ふし,ぶし,よ,せち
無事,ぶじ
不思議,ふしぎ
不自由,ふじゆう
夫人,ふじん,ぶにん
婦人,ふじん
不正,ふせい
防ぐ,ふせぐ
不足,ふそく
舞台,ぶたい
双子,ふたご,そうし
再び,ふたたび
普段,ふだん
縁,ゆかり,しょえん,えん,えにし,えに,え,ふち,よし,よすが,へり
打つ,うつ,ぶつ
物価,ぶっか
物質,ぶっしつ,ものしち
物理,ぶつり
筆,ふで,ひつ
船,ふね,せん
部分,ぶぶん
不平,ふへい
不満,ふまん
不利,ふり
振る,ふる,ぶる
震える,ふるえる
触れる,ふれる
風呂,ふろ
文,ふみ,ぶん,もん,あや
雰囲気,ふんいき,ふいんき
分析,ぶんせき
文明,ぶんめい
分野,ぶんや
塀,へい
平均,へいきん,へいぎん
平和,へいわ,ピンフ,ピンホー
別に,べつに
減らす,へらす
減る,へる
変化,へんか,へんげ
勉強,べんきょう
変更,へんこう
弁当,べんとう
方,かた,ほう,さま,がた,へ
法,のり,ほう
棒,ぼう
冒険,ぼうけん
方向,ほうこう
報告,ほうこく
宝石,ほうせき
放送,ほうそう
豊富,ほうふ
方法,ほうほう
訪問,ほうもん
吠える,ほえる
外,そと,と,ほか,よそ,がい
誇り,ほこり
埃,ほこり,ホコリ,あい
保証,ほしょう
保存,ほぞん
程,ほど
歩道,ほどう
仏,ふつ,ぶつ,ほとけ,ホトケ
骨,こつ,コツ,ほね
炎,ほのお,ほむら,えん
頬,ほお,ほほ,つら,ツラ
微笑む,ほほえむ,ほおえむ
褒める,ほめる
濠,ほり,ごう
本当,ほんとう,ほんと,ホントー,ホント,ホントウ
本人,ほんにん
本物,ほんもの,ホンモノ
